Sequence_Name,Label,Probability
ID=sp|B0R2Y0||Label=0|Type=non_AVP|Source=UniProt|Length=44|Dataset=TS_non_AVP,non-AVP,0.165
ID=sp|P26965||Label=0|Type=non_AVP|Source=UniProt|Length=29|Dataset=TS_non_AVP,non-AVP,0.230
ID=sp|A0A193H2X2||Label=0|Type=non_AVP|Source=UniProt|Length=28|Dataset=TS_non_AVP,non-AVP,0.295
ID=sp|P59909||Label=0|Type=non_AVP|Source=UniProt|Length=38|Dataset=TS_non_AVP,non-AVP,0.000
ID=sp|P33044||Label=0|Type=non_AVP|Source=UniProt|Length=44|Dataset=TS_non_AVP,non-AVP,0.195
ID=sp|Q85FJ6||Label=0|Type=non_AVP|Source=UniProt|Length=34|Dataset=TS_non_AVP,non-AVP,0.025
ID=sp|Q7X5L3||Label=0|Type=non_AVP|Source=UniProt|Length=44|Dataset=TS_non_AVP,non-AVP,0.000
ID=sp|P0DJN7||Label=0|Type=non_AVP|Source=UniProt|Length=23|Dataset=TS_non_AVP,AVP,0.510
ID=sp|P05483||Label=0|Type=non_AVP|Source=UniProt|Length=29|Dataset=TS_non_AVP,AVP,0.885
ID=sp|Q32RN0||Label=0|Type=non_AVP|Source=UniProt|Length=37|Dataset=TS_non_AVP,non-AVP,0.000
ID=DRAVPe00100|Label=1|Type=AVP|Source=DRAVP|Length=12|Dataset=TS_AVP,AVP,1.000
ID=sp|Q8DIN8||Label=0|Type=non_AVP|Source=UniProt|Length=37|Dataset=TS_non_AVP,non-AVP,0.000
ID=sp|B3EWV2||Label=0|Type=non_AVP|Source=UniProt|Length=27|Dataset=TS_non_AVP,AVP,0.940
ID=sp|P07368||Label=0|Type=non_AVP|Source=UniProt|Length=49|Dataset=TS_non_AVP,non-AVP,0.025
ID=ACoVP100145|Label=1|Type=AVP|Source=ACovPepDB|Length=12|Dataset=TS_AVP,non-AVP,0.465
ID=18606|Label=1|Type=AVP|Source=Peptipedia|Length=20|Dataset=TS_AVP,AVP,0.655
ID=sp|P80101||Label=0|Type=non_AVP|Source=UniProt|Length=47|Dataset=TS_non_AVP,non-AVP,0.005
ID=sp|O28212||Label=0|Type=non_AVP|Source=UniProt|Length=50|Dataset=TS_non_AVP,non-AVP,0.065
ID=HIP829|Label=1|Type=AVP|Source=HIPdb|Length=36|Dataset=TS_AVP,AVP,0.985
ID=dbAMP_32731|Label=1|Type=AVP|Source=dbAMP_Antiviral|Length=12|Dataset=TS_AVP,AVP,0.810
ID=sp|A8S6B3||Label=0|Type=non_AVP|Source=UniProt|Length=39|Dataset=TS_non_AVP,AVP,0.715
ID=sp|P0C6S4||Label=0|Type=non_AVP|Source=UniProt|Length=49|Dataset=TS_non_AVP,AVP,0.920
ID=sp|A8FI96||Label=0|Type=non_AVP|Source=UniProt|Length=49|Dataset=TS_non_AVP,non-AVP,0.010
ID=40901|Label=1|Type=AVP|Source=Peptipedia|Length=20|Dataset=TS_AVP,AVP,1.000
ID=dbAMP_12397|Label=1|Type=AVP|Source=dbAMP_Antiviral|Length=5|Dataset=TS_AVP,AVP,0.580
ID=sp|Q8DML2||Label=0|Type=non_AVP|Source=UniProt|Length=37|Dataset=TS_non_AVP,non-AVP,0.000
ID=sp|P0CJ68||Label=0|Type=non_AVP|Source=UniProt|Length=24|Dataset=TS_non_AVP,non-AVP,0.135
ID=sp|B3EWJ5||Label=0|Type=non_AVP|Source=UniProt|Length=15|Dataset=TS_non_AVP,AVP,0.950
ID=sp|P62522||Label=0|Type=non_AVP|Source=UniProt|Length=32|Dataset=TS_non_AVP,non-AVP,0.015
ID=HIP872|Label=1|Type=AVP|Source=HIPdb|Length=36|Dataset=TS_AVP,AVP,1.000
ID=sp|B8ISY7||Label=0|Type=non_AVP|Source=UniProt|Length=41|Dataset=TS_non_AVP,non-AVP,0.000
ID=sp|P85826||Label=0|Type=non_AVP|Source=UniProt|Length=31|Dataset=TS_non_AVP,non-AVP,0.360
ID=sp|P51276||Label=0|Type=non_AVP|Source=UniProt|Length=29|Dataset=TS_non_AVP,non-AVP,0.045
ID=HIP719|Label=1|Type=AVP|Source=HIPdb|Length=20|Dataset=TS_AVP,AVP,0.970
ID=sp|P0DUU3||Label=0|Type=non_AVP|Source=UniProt|Length=11|Dataset=TS_non_AVP,AVP,0.570
ID=14141|Label=1|Type=AVP|Source=Peptipedia|Length=29|Dataset=TS_AVP,AVP,1.000
ID=sp|B0S054||Label=0|Type=non_AVP|Source=UniProt|Length=49|Dataset=TS_non_AVP,non-AVP,0.000
ID=sp|B3WBV7||Label=0|Type=non_AVP|Source=UniProt|Length=46|Dataset=TS_non_AVP,non-AVP,0.025
ID=sp|P84546||Label=0|Type=non_AVP|Source=UniProt|Length=40|Dataset=TS_non_AVP,non-AVP,0.065
ID=sp|A6BM37||Label=0|Type=non_AVP|Source=UniProt|Length=38|Dataset=TS_non_AVP,non-AVP,0.045
ID=ACoVP100407|Label=1|Type=AVP|Source=ACovPepDB|Length=37|Dataset=TS_AVP,AVP,0.965
ID=sp|P35092||Label=0|Type=non_AVP|Source=UniProt|Length=50|Dataset=TS_non_AVP,non-AVP,0.015
ID=sp|Q31QE1||Label=0|Type=non_AVP|Source=UniProt|Length=31|Dataset=TS_non_AVP,non-AVP,0.000
ID=sp|P14479||Label=0|Type=non_AVP|Source=UniProt|Length=21|Dataset=TS_non_AVP,non-AVP,0.220
ID=sp|Q21QP5||Label=0|Type=non_AVP|Source=UniProt|Length=37|Dataset=TS_non_AVP,non-AVP,0.005
ID=sp|C0HKP8||Label=0|Type=non_AVP|Source=UniProt|Length=33|Dataset=TS_non_AVP,AVP,1.000
ID=sp|Q08363||Label=0|Type=non_AVP|Source=UniProt|Length=44|Dataset=TS_non_AVP,non-AVP,0.020
ID=sp|P08951||Label=0|Type=non_AVP|Source=UniProt|Length=11|Dataset=TS_non_AVP,AVP,0.765
ID=ACoVP100432|Label=1|Type=AVP|Source=ACovPepDB|Length=35|Dataset=TS_AVP,AVP,0.900
ID=sp|P82455||Label=0|Type=non_AVP|Source=UniProt|Length=8|Dataset=TS_non_AVP,non-AVP,0.335
ID=sp|Q86Y28||Label=0|Type=non_AVP|Source=UniProt|Length=39|Dataset=TS_non_AVP,non-AVP,0.260
ID=sp|P76164||Label=0|Type=non_AVP|Source=UniProt|Length=49|Dataset=TS_non_AVP,non-AVP,0.060
ID=DRAVPe00179|Label=1|Type=AVP|Source=DRAVP|Length=17|Dataset=TS_AVP,AVP,0.995
ID=sp|P0C2K0||Label=0|Type=non_AVP|Source=UniProt|Length=33|Dataset=TS_non_AVP,non-AVP,0.030
ID=sp|P0C2K4||Label=0|Type=non_AVP|Source=UniProt|Length=36|Dataset=TS_non_AVP,non-AVP,0.030
ID=sp|B5XQ45||Label=0|Type=non_AVP|Source=UniProt|Length=47|Dataset=TS_non_AVP,non-AVP,0.000
ID=sp|B0M2U1||Label=0|Type=non_AVP|Source=UniProt|Length=15|Dataset=TS_non_AVP,non-AVP,0.095
ID=sp|P20479||Label=0|Type=non_AVP|Source=UniProt|Length=23|Dataset=TS_non_AVP,AVP,0.670
ID=sp|P61239||Label=0|Type=non_AVP|Source=UniProt|Length=50|Dataset=TS_non_AVP,non-AVP,0.225
ID=sp|Q2EEX8||Label=0|Type=non_AVP|Source=UniProt|Length=41|Dataset=TS_non_AVP,non-AVP,0.360
ID=sp|P0DQS4||Label=0|Type=non_AVP|Source=UniProt|Length=31|Dataset=TS_non_AVP,AVP,0.830
ID=sp|Q03SU2||Label=0|Type=non_AVP|Source=UniProt|Length=49|Dataset=TS_non_AVP,non-AVP,0.010
ID=sp|P01530||Label=0|Type=non_AVP|Source=UniProt|Length=49|Dataset=TS_non_AVP,AVP,0.895
ID=sp|P83529||Label=0|Type=non_AVP|Source=UniProt|Length=9|Dataset=TS_non_AVP,non-AVP,0.190
ID=sp|P40754||Label=0|Type=non_AVP|Source=UniProt|Length=12|Dataset=TS_non_AVP,AVP,0.770
ID=sp|Q05FP5||Label=0|Type=non_AVP|Source=UniProt|Length=43|Dataset=TS_non_AVP,non-AVP,0.010
ID=sp|P0C8J0||Label=0|Type=non_AVP|Source=UniProt|Length=20|Dataset=TS_non_AVP,AVP,0.745
ID=sp|C0HKF9||Label=0|Type=non_AVP|Source=UniProt|Length=30|Dataset=TS_non_AVP,AVP,0.995
ID=DRAVPe01687|Label=1|Type=AVP|Source=DRAVP|Length=18|Dataset=TS_AVP,AVP,0.780
ID=sp|A6YR41||Label=0|Type=non_AVP|Source=UniProt|Length=44|Dataset=TS_non_AVP,AVP,0.625
ID=sp|Q3E741||Label=0|Type=non_AVP|Source=UniProt|Length=30|Dataset=TS_non_AVP,non-AVP,0.125
ID=DRAVPe00598|Label=1|Type=AVP|Source=DRAVP|Length=32|Dataset=TS_AVP,AVP,1.000
ID=sp|C0HKY6||Label=0|Type=non_AVP|Source=UniProt|Length=16|Dataset=TS_non_AVP,AVP,0.990
ID=sp|Q6B935||Label=0|Type=non_AVP|Source=UniProt|Length=34|Dataset=TS_non_AVP,non-AVP,0.065
ID=sp|P0DSH4||Label=0|Type=non_AVP|Source=UniProt|Length=36|Dataset=TS_non_AVP,non-AVP,0.050
ID=sp|P85058||Label=0|Type=non_AVP|Source=UniProt|Length=28|Dataset=TS_non_AVP,AVP,1.000
ID=sp|P85485||Label=0|Type=non_AVP|Source=UniProt|Length=9|Dataset=TS_non_AVP,non-AVP,0.140
ID=sp|Q6EW69||Label=0|Type=non_AVP|Source=UniProt|Length=36|Dataset=TS_non_AVP,non-AVP,0.005
ID=sp|A0A0A0MT76||Label=0|Type=non_AVP|Source=UniProt|Length=42|Dataset=TS_non_AVP,non-AVP,0.255
ID=sp|P85347||Label=0|Type=non_AVP|Source=UniProt|Length=15|Dataset=TS_non_AVP,non-AVP,0.045
ID=sp|P83247||Label=0|Type=non_AVP|Source=UniProt|Length=48|Dataset=TS_non_AVP,non-AVP,0.410
ID=sp|P30881||Label=0|Type=non_AVP|Source=UniProt|Length=37|Dataset=TS_non_AVP,non-AVP,0.490
ID=sp|O55714||Label=0|Type=non_AVP|Source=UniProt|Length=50|Dataset=TS_non_AVP,non-AVP,0.220
ID=sp|Q5SD35||Label=0|Type=non_AVP|Source=UniProt|Length=42|Dataset=TS_non_AVP,non-AVP,0.000
ID=sp|B1WS50||Label=0|Type=non_AVP|Source=UniProt|Length=35|Dataset=TS_non_AVP,non-AVP,0.005
ID=HIP665|Label=1|Type=AVP|Source=HIPdb|Length=20|Dataset=TS_AVP,AVP,0.755
ID=sp|C0HKZ0||Label=0|Type=non_AVP|Source=UniProt|Length=16|Dataset=TS_non_AVP,AVP,1.000
ID=sp|P84654||Label=0|Type=non_AVP|Source=UniProt|Length=11|Dataset=TS_non_AVP,AVP,0.800
ID=sp|Q8TGM4||Label=0|Type=non_AVP|Source=UniProt|Length=44|Dataset=TS_non_AVP,non-AVP,0.040
ID=sp|Q5SD41||Label=0|Type=non_AVP|Source=UniProt|Length=38|Dataset=TS_non_AVP,non-AVP,0.025
ID=sp|C0HLY5||Label=0|Type=non_AVP|Source=UniProt|Length=20|Dataset=TS_non_AVP,non-AVP,0.155
ID=sp|B7KH61||Label=0|Type=non_AVP|Source=UniProt|Length=44|Dataset=TS_non_AVP,non-AVP,0.010
ID=sp|Q10721||Label=0|Type=non_AVP|Source=UniProt|Length=13|Dataset=TS_non_AVP,non-AVP,0.425
ID=sp|P41517||Label=0|Type=non_AVP|Source=UniProt|Length=9|Dataset=TS_non_AVP,non-AVP,0.190
ID=sp|Q3V541||Label=0|Type=non_AVP|Source=UniProt|Length=31|Dataset=TS_non_AVP,non-AVP,0.025
ID=sp|P86465||Label=0|Type=non_AVP|Source=UniProt|Length=30|Dataset=TS_non_AVP,non-AVP,0.415
ID=sp|P86709||Label=0|Type=non_AVP|Source=UniProt|Length=10|Dataset=TS_non_AVP,AVP,0.625
ID=sp|P86120||Label=0|Type=non_AVP|Source=UniProt|Length=27|Dataset=TS_non_AVP,non-AVP,0.055
ID=41839|Label=1|Type=AVP|Source=Peptipedia|Length=10|Dataset=TS_AVP,AVP,0.880
ID=sp|C5D9Z2||Label=0|Type=non_AVP|Source=UniProt|Length=44|Dataset=TS_non_AVP,non-AVP,0.020
ID=DRAVPe00529|Label=1|Type=AVP|Source=DRAVP|Length=26|Dataset=TS_AVP,AVP,1.000
ID=sp|Q32RU3||Label=0|Type=non_AVP|Source=UniProt|Length=43|Dataset=TS_non_AVP,non-AVP,0.020
ID=sp|Q6CYR2||Label=0|Type=non_AVP|Source=UniProt|Length=46|Dataset=TS_non_AVP,non-AVP,0.020
ID=sp|O21950||Label=0|Type=non_AVP|Source=UniProt|Length=45|Dataset=TS_non_AVP,non-AVP,0.125
ID=sp|P83489||Label=0|Type=non_AVP|Source=UniProt|Length=49|Dataset=TS_non_AVP,non-AVP,0.065
ID=sp|P85805||Label=0|Type=non_AVP|Source=UniProt|Length=10|Dataset=TS_non_AVP,non-AVP,0.120
ID=sp|P0DJK7||Label=0|Type=non_AVP|Source=UniProt|Length=10|Dataset=TS_non_AVP,AVP,0.710
ID=sp|A7IGM5||Label=0|Type=non_AVP|Source=UniProt|Length=44|Dataset=TS_non_AVP,non-AVP,0.005
ID=sp|Q7VSD9||Label=0|Type=non_AVP|Source=UniProt|Length=44|Dataset=TS_non_AVP,non-AVP,0.020
ID=19002|Label=1|Type=AVP|Source=DBAASP|Length=23|Dataset=TS_AVP,non-AVP,0.225
ID=sp|P86304||Label=0|Type=non_AVP|Source=UniProt|Length=10|Dataset=TS_non_AVP,AVP,0.825
ID=DRAVPe00127|Label=1|Type=AVP|Source=DRAVP|Length=12|Dataset=TS_AVP,AVP,0.545
ID=sp|P0CH76||Label=0|Type=non_AVP|Source=UniProt|Length=30|Dataset=TS_non_AVP,non-AVP,0.245
ID=sp|P56651||Label=0|Type=non_AVP|Source=UniProt|Length=50|Dataset=TS_non_AVP,non-AVP,0.100
ID=sp|P0DUG9||Label=0|Type=non_AVP|Source=UniProt|Length=48|Dataset=TS_non_AVP,non-AVP,0.025
ID=sp|B3EWN2||Label=0|Type=non_AVP|Source=UniProt|Length=35|Dataset=TS_non_AVP,AVP,0.985
ID=sp|P0DL16||Label=0|Type=non_AVP|Source=UniProt|Length=30|Dataset=TS_non_AVP,non-AVP,0.340
ID=sp|P51421||Label=0|Type=non_AVP|Source=UniProt|Length=42|Dataset=TS_non_AVP,non-AVP,0.120
ID=21794|Label=1|Type=AVP|Source=DBAASP|Length=10|Dataset=TS_AVP,AVP,0.980
ID=sp|P20737||Label=0|Type=non_AVP|Source=UniProt|Length=38|Dataset=TS_non_AVP,non-AVP,0.270
ID=CAMPSQ12311|Label=1|Type=AVP|Source=CAMP|Length=33|Dataset=TS_AVP,AVP,0.885
ID=sp|P0CF02||Label=0|Type=non_AVP|Source=UniProt|Length=28|Dataset=TS_non_AVP,AVP,0.855
ID=sp|A0T0C4||Label=0|Type=non_AVP|Source=UniProt|Length=38|Dataset=TS_non_AVP,non-AVP,0.000
ID=HIP687|Label=1|Type=AVP|Source=HIPdb|Length=20|Dataset=TS_AVP,AVP,0.970
ID=sp|P86603||Label=0|Type=non_AVP|Source=UniProt|Length=9|Dataset=TS_non_AVP,non-AVP,0.345
ID=sp|B8ZTN7||Label=0|Type=non_AVP|Source=UniProt|Length=47|Dataset=TS_non_AVP,non-AVP,0.020
ID=sp|P19943||Label=0|Type=non_AVP|Source=UniProt|Length=44|Dataset=TS_non_AVP,non-AVP,0.155
ID=sp|C0HKH5||Label=0|Type=non_AVP|Source=UniProt|Length=28|Dataset=TS_non_AVP,AVP,0.950
ID=dbAMP_32579|Label=1|Type=AVP|Source=dbAMP_Antiviral|Length=9|Dataset=TS_AVP,AVP,0.745
ID=sp|C0HLD6||Label=0|Type=non_AVP|Source=UniProt|Length=19|Dataset=TS_non_AVP,AVP,0.880
ID=sp|P84795||Label=0|Type=non_AVP|Source=UniProt|Length=30|Dataset=TS_non_AVP,non-AVP,0.100
ID=sp|Q20F04||Label=0|Type=non_AVP|Source=UniProt|Length=37|Dataset=TS_non_AVP,non-AVP,0.020
ID=sp|A1X8D1||Label=0|Type=non_AVP|Source=UniProt|Length=38|Dataset=TS_non_AVP,non-AVP,0.150
ID=sp|Q01798||Label=0|Type=non_AVP|Source=UniProt|Length=46|Dataset=TS_non_AVP,non-AVP,0.095
ID=sp|Q8HS08||Label=0|Type=non_AVP|Source=UniProt|Length=43|Dataset=TS_non_AVP,non-AVP,0.025
ID=sp|C0HKM2||Label=0|Type=non_AVP|Source=UniProt|Length=25|Dataset=TS_non_AVP,AVP,0.710
ID=sp|A0ZZ29||Label=0|Type=non_AVP|Source=UniProt|Length=34|Dataset=TS_non_AVP,non-AVP,0.000
ID=7032|Label=1|Type=AVP|Source=Peptipedia|Length=24|Dataset=TS_AVP,AVP,1.000
ID=sp|C0HL69||Label=0|Type=non_AVP|Source=UniProt|Length=33|Dataset=TS_non_AVP,AVP,1.000
ID=sp|P0DJB8||Label=0|Type=non_AVP|Source=UniProt|Length=28|Dataset=TS_non_AVP,AVP,0.975
ID=DRAVPe01772|Label=1|Type=AVP|Source=DRAVP|Length=29|Dataset=TS_AVP,AVP,0.655
ID=sp|Q3A6M4||Label=0|Type=non_AVP|Source=UniProt|Length=37|Dataset=TS_non_AVP,non-AVP,0.005
ID=sp|B1Y0G0||Label=0|Type=non_AVP|Source=UniProt|Length=44|Dataset=TS_non_AVP,non-AVP,0.025
ID=sp|P59069||Label=0|Type=non_AVP|Source=UniProt|Length=46|Dataset=TS_non_AVP,non-AVP,0.135
ID=sp|Q2RFN2||Label=0|Type=non_AVP|Source=UniProt|Length=49|Dataset=TS_non_AVP,non-AVP,0.000
ID=sp|P0DUU8||Label=0|Type=non_AVP|Source=UniProt|Length=10|Dataset=TS_non_AVP,non-AVP,0.470
ID=sp|Q20F21||Label=0|Type=non_AVP|Source=UniProt|Length=35|Dataset=TS_non_AVP,non-AVP,0.000
ID=DRAMP01654|Label=1|Type=AVP|Source=DRAMP|Length=29|Dataset=TS_AVP,AVP,1.000
ID=sp|Q8CWN7||Label=0|Type=non_AVP|Source=UniProt|Length=50|Dataset=TS_non_AVP,non-AVP,0.035
ID=sp|P01542||Label=0|Type=non_AVP|Source=UniProt|Length=46|Dataset=TS_non_AVP,AVP,0.920
ID=sp|P82233||Label=0|Type=non_AVP|Source=UniProt|Length=17|Dataset=TS_non_AVP,AVP,0.795
ID=sp|A0A2I6EDM9||Label=0|Type=non_AVP|Source=UniProt|Length=45|Dataset=TS_non_AVP,non-AVP,0.370
ID=sp|B3EWK6||Label=0|Type=non_AVP|Source=UniProt|Length=32|Dataset=TS_non_AVP,non-AVP,0.060
ID=HIP831|Label=1|Type=AVP|Source=HIPdb|Length=36|Dataset=TS_AVP,AVP,0.995
ID=sp|Q9QAQ7||Label=0|Type=non_AVP|Source=UniProt|Length=43|Dataset=TS_non_AVP,non-AVP,0.015
ID=sp|P10291||Label=0|Type=non_AVP|Source=UniProt|Length=32|Dataset=TS_non_AVP,AVP,0.540
ID=sp|P82282||Label=0|Type=non_AVP|Source=UniProt|Length=21|Dataset=TS_non_AVP,AVP,0.985
ID=sp|P86144||Label=0|Type=non_AVP|Source=UniProt|Length=22|Dataset=TS_non_AVP,non-AVP,0.140
ID=sp|C0HKY5||Label=0|Type=non_AVP|Source=UniProt|Length=10|Dataset=TS_non_AVP,AVP,0.985
ID=sp|P19294||Label=0|Type=non_AVP|Source=UniProt|Length=50|Dataset=TS_non_AVP,non-AVP,0.030
ID=sp|P23834||Label=0|Type=non_AVP|Source=UniProt|Length=46|Dataset=TS_non_AVP,non-AVP,0.060
ID=sp|Q9GE34||Label=0|Type=non_AVP|Source=UniProt|Length=35|Dataset=TS_non_AVP,non-AVP,0.060
ID=sp|P31233||Label=0|Type=non_AVP|Source=UniProt|Length=21|Dataset=TS_non_AVP,AVP,0.535
ID=sp|P30288||Label=0|Type=non_AVP|Source=UniProt|Length=48|Dataset=TS_non_AVP,AVP,0.960
ID=sp|Q11D95||Label=0|Type=non_AVP|Source=UniProt|Length=41|Dataset=TS_non_AVP,non-AVP,0.000
ID=sp|P84736||Label=0|Type=non_AVP|Source=UniProt|Length=50|Dataset=TS_non_AVP,non-AVP,0.285
ID=sp|P80389||Label=0|Type=non_AVP|Source=UniProt|Length=39|Dataset=TS_non_AVP,AVP,0.975
ID=sp|Q03367||Label=0|Type=non_AVP|Source=UniProt|Length=10|Dataset=TS_non_AVP,non-AVP,0.195
ID=sp|B2V9H1||Label=0|Type=non_AVP|Source=UniProt|Length=45|Dataset=TS_non_AVP,non-AVP,0.025
ID=sp|P06304||Label=0|Type=non_AVP|Source=UniProt|Length=36|Dataset=TS_non_AVP,AVP,0.530
ID=DRAVPe01134|Label=1|Type=AVP|Source=DRAVP|Length=14|Dataset=TS_AVP,AVP,0.900
ID=sp|P61095||Label=0|Type=non_AVP|Source=UniProt|Length=46|Dataset=TS_non_AVP,AVP,0.620
ID=sp|P81598||Label=0|Type=non_AVP|Source=UniProt|Length=37|Dataset=TS_non_AVP,AVP,0.840
ID=sp|P27429||Label=0|Type=non_AVP|Source=UniProt|Length=10|Dataset=TS_non_AVP,AVP,0.930
ID=sp|C0HJH6||Label=0|Type=non_AVP|Source=UniProt|Length=28|Dataset=TS_non_AVP,AVP,0.875
ID=sp|P82040||Label=0|Type=non_AVP|Source=UniProt|Length=19|Dataset=TS_non_AVP,AVP,0.890
ID=DRAVPe00259|Label=1|Type=AVP|Source=DRAVP|Length=38|Dataset=TS_AVP,AVP,0.985
ID=sp|A9KJM3||Label=0|Type=non_AVP|Source=UniProt|Length=49|Dataset=TS_non_AVP,non-AVP,0.000
ID=sp|P85042||Label=0|Type=non_AVP|Source=UniProt|Length=15|Dataset=TS_non_AVP,AVP,0.830
ID=sp|P30424||Label=0|Type=non_AVP|Source=UniProt|Length=11|Dataset=TS_non_AVP,AVP,0.990
ID=DRAVPe00451|Label=1|Type=AVP|Source=DRAVP|Length=25|Dataset=TS_AVP,AVP,0.905
ID=sp|P80336||Label=0|Type=non_AVP|Source=UniProt|Length=10|Dataset=TS_non_AVP,non-AVP,0.130
ID=sp|Q6B0Y5||Label=0|Type=non_AVP|Source=UniProt|Length=42|Dataset=TS_non_AVP,non-AVP,0.010
ID=sp|P85844||Label=0|Type=non_AVP|Source=UniProt|Length=10|Dataset=TS_non_AVP,AVP,0.665
ID=sp|P84669||Label=0|Type=non_AVP|Source=UniProt|Length=17|Dataset=TS_non_AVP,AVP,0.620
ID=sp|P84212||Label=0|Type=non_AVP|Source=UniProt|Length=13|Dataset=TS_non_AVP,AVP,0.830
ID=sp|C0HJX7||Label=0|Type=non_AVP|Source=UniProt|Length=40|Dataset=TS_non_AVP,AVP,0.995
ID=sp|Q5SD42||Label=0|Type=non_AVP|Source=UniProt|Length=39|Dataset=TS_non_AVP,non-AVP,0.090
ID=sp|P0DTM1||Label=0|Type=non_AVP|Source=UniProt|Length=13|Dataset=TS_non_AVP,AVP,1.000
ID=sp|P60270||Label=0|Type=non_AVP|Source=UniProt|Length=35|Dataset=TS_non_AVP,AVP,0.835
ID=sp|P0C1Z3||Label=0|Type=non_AVP|Source=UniProt|Length=27|Dataset=TS_non_AVP,AVP,0.525
ID=sp|P86309||Label=0|Type=non_AVP|Source=UniProt|Length=13|Dataset=TS_non_AVP,AVP,0.730
ID=6680|Label=1|Type=AVP|Source=Peptipedia|Length=32|Dataset=TS_AVP,AVP,1.000
ID=sp|Q5FSY7||Label=0|Type=non_AVP|Source=UniProt|Length=41|Dataset=TS_non_AVP,non-AVP,0.000
ID=CAMPSQ2478|Label=1|Type=AVP|Source=CAMP|Length=30|Dataset=TS_AVP,AVP,1.000
ID=sp|P82226||Label=0|Type=non_AVP|Source=UniProt|Length=36|Dataset=TS_non_AVP,AVP,0.950
ID=sp|P80745||Label=0|Type=non_AVP|Source=UniProt|Length=16|Dataset=TS_non_AVP,non-AVP,0.245
ID=sp|P85370||Label=0|Type=non_AVP|Source=UniProt|Length=12|Dataset=TS_non_AVP,non-AVP,0.225
ID=sp|B7KAA7||Label=0|Type=non_AVP|Source=UniProt|Length=37|Dataset=TS_non_AVP,non-AVP,0.000
ID=6024|Label=1|Type=AVP|Source=Peptipedia|Length=27|Dataset=TS_AVP,AVP,1.000
ID=sp|P56550||Label=0|Type=non_AVP|Source=UniProt|Length=48|Dataset=TS_non_AVP,non-AVP,0.020
ID=sp|P10453||Label=0|Type=non_AVP|Source=UniProt|Length=47|Dataset=TS_non_AVP,AVP,0.955
ID=sp|Q8M9Z2||Label=0|Type=non_AVP|Source=UniProt|Length=43|Dataset=TS_non_AVP,non-AVP,0.015
ID=sp|P0DL76||Label=0|Type=non_AVP|Source=UniProt|Length=9|Dataset=TS_non_AVP,AVP,1.000
ID=sp|Q86QU2||Label=0|Type=non_AVP|Source=UniProt|Length=47|Dataset=TS_non_AVP,AVP,0.950
ID=sp|P86077||Label=0|Type=non_AVP|Source=UniProt|Length=22|Dataset=TS_non_AVP,non-AVP,0.110
ID=dbAMP_01964|Label=1|Type=AVP|Source=dbAMP_Antiviral|Length=17|Dataset=TS_AVP,AVP,0.985
ID=DRAVPe00112|Label=1|Type=AVP|Source=DRAVP|Length=18|Dataset=TS_AVP,AVP,0.900
ID=HIP479|Label=1|Type=AVP|Source=HIPdb|Length=18|Dataset=TS_AVP,AVP,0.930
ID=sp|P0DRE5||Label=0|Type=non_AVP|Source=UniProt|Length=6|Dataset=TS_non_AVP,non-AVP,0.230
ID=DRAVPe00731|Label=1|Type=AVP|Source=DRAVP|Length=35|Dataset=TS_AVP,AVP,0.990
ID=sp|C0HJY9||Label=0|Type=non_AVP|Source=UniProt|Length=19|Dataset=TS_non_AVP,AVP,0.995
ID=sp|P0C1U2||Label=0|Type=non_AVP|Source=UniProt|Length=22|Dataset=TS_non_AVP,AVP,0.935
ID=sp|P86446||Label=0|Type=non_AVP|Source=UniProt|Length=10|Dataset=TS_non_AVP,non-AVP,0.430
ID=HIP668|Label=1|Type=AVP|Source=HIPdb|Length=20|Dataset=TS_AVP,AVP,0.840
ID=sp|Q86HC2||Label=0|Type=non_AVP|Source=UniProt|Length=49|Dataset=TS_non_AVP,non-AVP,0.085
ID=dbAMP_10750|Label=1|Type=AVP|Source=dbAMP_Antiviral|Length=6|Dataset=TS_AVP,AVP,1.000
ID=sp|Q8U232||Label=0|Type=non_AVP|Source=UniProt|Length=37|Dataset=TS_non_AVP,AVP,0.575
ID=sp|P86504||Label=0|Type=non_AVP|Source=UniProt|Length=24|Dataset=TS_non_AVP,AVP,0.725
ID=sp|P37865||Label=0|Type=non_AVP|Source=UniProt|Length=31|Dataset=TS_non_AVP,non-AVP,0.060
ID=sp|P42365||Label=0|Type=non_AVP|Source=UniProt|Length=50|Dataset=TS_non_AVP,non-AVP,0.085
ID=sp|P0C2U6||Label=0|Type=non_AVP|Source=UniProt|Length=18|Dataset=TS_non_AVP,AVP,0.810
ID=sp|Q9TM23||Label=0|Type=non_AVP|Source=UniProt|Length=39|Dataset=TS_non_AVP,non-AVP,0.010
ID=DRAVPe00586|Label=1|Type=AVP|Source=DRAVP|Length=25|Dataset=TS_AVP,AVP,1.000
ID=sp|Q3ISB2||Label=0|Type=non_AVP|Source=UniProt|Length=49|Dataset=TS_non_AVP,non-AVP,0.015
ID=6016|Label=1|Type=AVP|Source=Peptipedia|Length=24|Dataset=TS_AVP,AVP,1.000
ID=sp|A3DIY7||Label=0|Type=non_AVP|Source=UniProt|Length=49|Dataset=TS_non_AVP,non-AVP,0.000
ID=sp|Q6MAS0||Label=0|Type=non_AVP|Source=UniProt|Length=45|Dataset=TS_non_AVP,non-AVP,0.015
